Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
Items/VerdantDragonfishDesc	Text		This draconic fish has green scales that can withstand remarkably high temperatures.	Dieser drakonische Fisch besitzt grüne Schuppen, die bemerkenswert hohen Temperaturen widerstehen können.	Ce poisson draconien a des écailles vertes capables de résister à des températures remarquablement élevées.	Este peixe dracônico possui escamas verdes capazes de suportar altíssimas temperaturas.	Questo pesce draconico presenta delle scaglie verdi in grado di resistere a temperature significativamente elevate.	緑色のウロコをまとう竜のような魚。著しく高い温度にも耐えることができる。	이 용 같이 생긴 물고기는 놀랍도록 높은 온도를 견딜 수 있는 녹색 비늘이 달려 있습니다.	Эта рыба-дракон с зеленой чешуей способна жить при невероятно высоких температурах.	Este pez dragón tiene escamas de color verde que pueden soportar temperaturas extraordinariamente altas.	Зелена луска цієї драконової риби може витримувати надзвичайно високі температури.	这种像龙一样的鱼身上长着绿色的鳞片，有着超强的抗高温能力。	這種像龍一樣的魚，身上長滿了綠色的鱗片，能耐受極高的溫度。	ปลาหน้าตาคล้ายมังกรตัวนี้มีเกล็ดสีเขียวที่สามารถทนอุณหภูมิสูงได้อย่างไม่ธรรมดา
Items/ViciousRing	Text		Vicious Ring	Bösartiger Ring	Bague vicieuse	Anel Cruel	Anello della ferocia	悪意のリング	악의의 반지	Зловещее кольцо	Anillo depravado	Злісний перстень	邪恶戒指	陰險戒指	แหวนชั่วร้าย
Items/ViciousRingDesc	Text		The unsettling gaze of this ring causes minions to stay on high alert.	Der verstörende Blick dieses Rings sorgt dafür, dass die Unterlinge in höchster Alarmbereitschaft sind.	Ce regard dérangeant force les serviteurs à rester sur le qui-vive.	O olhar perturbador deste anel deixa os lacaios em alerta máximo.	A causa del suo sguardo inquietante, gli scagnozzi tengono alta la guardia.	リングの不穏な視線によりミニオンが厳戒態勢をとる。	이 반지의 불길한 시선은 소환수들이 경계 태세를 유지하게 해줍니다.	Это кольцо поднимает волнение в душах прислужников и заставляет их оставаться настороже.	La mirada inquietante de este anillo hace que los secuaces permanezcan en alerta máxima.	Страхітливий погляд цієї каблучки змушує посіпак завжди бути напоготові.	这枚戒指仿佛在阴冷地凝视，这让随从们保持高度警惕。	這枚戒指散發出的不安凝視，使得僕從保持高度警戒。	การจับจ้องที่ชวนให้อึดอัดใจทำให้เหล่าลูกสมุนกระตือรือร้นตลอดเวลา
Items/VoidBomb	Text		Void Bomb	Nihil-Bombe	Bombe à néant	Bomba de Vácuo	Bomba del vuoto	空虚爆弾	공허 폭탄	Бомба пустоты	Bomba de vacío	Бомба порожнечі	虚空炸弹	虛空炸彈	ระเบิดสุญญตา
Items/VoidBombDesc	Text		Draws in nearby enemies before spitting them out in pieces.	Zieht Feinde in der Nähe in sich hinein und spuckt sie in Einzelteilen wieder aus.	Aspire les adversaires à proximité, puis les recrache en morceaux.	Puxa inimigos adjacentes antes de espatifá-los.	Attira a sé i nemici circostanti prima di farli a pezzi.	付近にいる敵を引き寄せ、細切れにして吐き出す。	주변의 적이 빨려 들어간 후 갈기갈기 찢긴 채 튀어나옵니다.	Затягивает врагов поблизости и разбрасывает вокруг то, что от них осталось.	Atrae a los enemigos cercanos antes de escupirlos en pedazos.	Втягує найближчих ворогів, а потім викидає їх шматками.	把附近的敌人吸入后吐出他们的残渣。	可吸引鄰近敵人，並將他們全數噴出。	"ดูดศัตรูใกล้เคียงเข้ามา
แล้วพ่นออกมาเป็นชิ้นๆ"
Items/VoidOrbGun	Text		Void Gun	Nihilkanone	Fusil à néant	Pistola de Vácuo	Arma del vuoto	ヴォイドガン	공허 총	Пустолет	Pistola de vacío	Пістолет пустоти	虚空枪	虛空槍	ปืนสุญญตา
Items/VoidOrbGunDesc	Text		A particle weapon with unknown inner workings. It emits balls of void that distort spacetime to inflict high damage.	Eine Partikelwaffe unbekannter Konstruktion. Sie verschießt Kugeln bestehend aus Nichts, die das Raumzeit-Gefüge verzerren und hohen Schaden anrichten.	Arme à particules dont le fonctionnement interne est inconnu. Elle émet des boules de néant qui déforment l’espace-temps et infligent des dégâts importants.	Uma arma de partículas cujo mecanismo interno é desconhecido. Emite esferas de vácuo que distorcem o espaço-tempo para infligir dano alto.	Un'arma particellare che possiede dei meccanismi interni sconosciuti. Emette sfere di vuoto in grado di distorcere lo spazio-tempo e infliggere danni ingenti.	未知の内部構造をしている粒子武器。時空を歪ませ高ダメージを与える虚空の玉を放つ。	내부의 작동 방식을 알 수 없는 입자 무기입니다. 시공간을 왜곡해 큰 피해를 주는 공허 구체를 내보냅니다.	Неизвестно, как устроено это оружие, но стреляет оно частицами. Выпуская сгустки пустоты, пустолет искажает пространственно-временной континуум и наносит цели мощный урон.	Un arma de partículas de funcionamiento desconocido. Emite bolas de vacío que distorsionan el espacio-tiempo e infligen mucho daño.	Зброя із незрозумілим механізмом. Випускає кульки порожнечі, які спотворюють простір і час, завдаючи великої шкоди.	一种粒子武器，内部构造不明。能发射虚空球体，扭曲时空，造成较高伤害。	具有未知內部構造的粒子武器，可發射出能扭曲時空的虛空球，以造成高度傷害。	"อาวุธอนุภาคที่มีกลไกภายใน
ลึกลับ มันปล่อยลูกบอลแห่ง-
ความว่างเปล่าที่บิดเบือน
ปริภูมิเวลาเพื่อสร้าง
ความเสียหายรุนแรง"
Items/WallAlienBlock	Text		Alien Tech Block	Alientechnologie-Block	Bloc de technologie extraterrestre	Bloco de Tecnologia Alienígena	Blocco di tecnologia aliena	異星技術のブロック	외계 기술 블록	Инопланетный техноблок	Bloque de tecnología alienígena	Інопланетний техноблок	外星科技砖块	外星科技磚塊	บล็อกเทคโนโลยีต่างดาว
Items/WallAlienBlockDesc	Text		A mysterious intricate piece of architecture.	Ein mysteriöses, komplexes Stück Architektur.	Un élément d’architecture intriqué et mystérieux.	Um bloco de arquitetura misteriosa e complexa.	Un pezzo di architettura misterioso e intricato.	えたいの知れないほど硬い建造物の一部。	곤혹스러울 정도로 단단한 구조물입니다.	Загадочный, хитроумно устроенный архитектурный элемент.	Una pieza de arquitectura misteriosamente intrincada.	Загадковий і хитрий витвір архітектури.	一块图案错综复杂的神秘建筑材料。	一種神祕、錯綜複雜的建築物。	ชิ้นส่วนสถาปัตยกรรมซับซ้อนลึกลับ
Items/WallBossChest	Text		Urschleims Chest	Urschleims Kiste	Coffre d’Urschleim	Baú de Urschleim	Forziere di Urschleim	ウルシュライムの宝箱	태초슬라임 상자	Сундук Уршляйма	Cofre de Urschleim	Скриня Уршляйма	原始史莱姆箱子	原始史萊姆寶箱	หีบอูร์ชไลม์
Items/WallBossChestDesc	Text		A large chest, made from the hardened mass of the gargantuan amoeba. You feel uneasy in its presence.	Eine große Truhe, die aus der gehärteten Masse einer gigantischen Amöbe besteht. In ihrer Gegenwart fühlt man sich unwohl.	Un grand coffre, fait de la masse durcie d’une amoeba gargantuesque. On se sent mal à l’aise en sa présence.	Um grande baú feito de massa endurecida da ameba gigantesca. A presença dele causa desconforto.	Un grande forziere realizzato dalla massa indurita della gigantesca ameba. Dinnanzi alla sua presenza, ti senti a disagio.	巨大なアメーバが硬化した物質で作られた大きな宝箱。この存在に不安を覚える。	단단해진 거대한 아메바 덩어리로 만든 커다란 상자입니다. 근처에 있으면 불안한 느낌이 듭니다.	Огромный сундук из затвердевшей протоплазмы гигантской амебы. Тебе от него как-то не по себе.	Un cofre de gran tamaño hecho con la masa endurecida de la monstruosa ameba. Sientes inquietud en su presencia.	Велика скриня із затверділої маси гігантської амеби. Тобі не по собі поруч із нею.	一个巨大的箱子，由硬化的巨大阿米巴虫制成。它的存在让你感到不安。	龐大阿米巴堅硬物質製成的大型寶箱。看到此物時，感到渾身不自在。	หีบขนาดใหญ่ที่สร้างจากมวลอะมีบาขนาดใหญ่โตที่แข็งตัว คุณรู้สึกไม่สบายใจเมื่อสัมผัสได้ถึงตัวตนของมัน
